tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,InternetService,OnlineSecurity,Churn
23,48.15,1107.45,Two year,Electronic check,Fiber optic,No,Yes
30,107.28,3218.4,One year,Bank transfer,DSL,Yes,No
17,31.26,531.42,Two year,Credit card,DSL,Yes,No
62,90.37,5602.94,Month-to-month,Electronic check,No,No,Yes
13,74.07,962.91,One year,Electronic check,Fiber optic,No,No
59,29.65,1749.35,One year,Electronic check,DSL,No,Yes
19,44.19,839.61,Month-to-month,Bank transfer,Fiber optic,No,Yes
49,21.24,1040.76,One year,Mailed check,DSL,No,No
12,66.88,802.56,One year,Electronic check,No,Yes,No
61,50.13,3057.93,One year,Bank transfer,Fiber optic,Yes,Yes
19,79.84,1516.96,One year,Electronic check,Fiber optic,No,No
9,49.72,447.48,Month-to-month,Credit card,DSL,Yes,No
71,49.99,3549.29,Month-to-month,Bank transfer,DSL,Yes,Yes
28,94.32,2640.96,One year,Electronic check,DSL,No,No
52,24.81,1290.12,One year,Bank transfer,Fiber optic,Yes,No
16,110.29,1764.64,Month-to-month,Electronic check,No,Yes,No
69,105.23,7260.87,Month-to-month,Mailed check,No,Yes,No
12,86.78,1041.36,Month-to-month,Electronic check,DSL,No,Yes
25,79.32,1983.0,One year,Bank transfer,No,No,No
52,109.23,5679.96,One year,Credit card,DSL,Yes,Yes
53,38.53,2042.09,Two year,Credit card,No,Yes,Yes
23,27.9,641.7,Month-to-month,Credit card,Fiber optic,Yes,Yes
16,43.95,703.2,One year,Electronic check,DSL,Yes,Yes
57,99.46,5669.22,Month-to-month,Mailed check,No,Yes,Yes
39,23.47,915.33,One year,Electronic check,Fiber optic,Yes,Yes
53,78.28,4148.84,Month-to-month,Credit card,No,No,Yes
42,119.54,5020.68,One year,Bank transfer,Fiber optic,Yes,No
58,105.57,6123.06,Two year,Credit card,Fiber optic,Yes,Yes
39,72.14,2813.46,Two year,Bank transfer,No,No,No
14,26.36,369.04,Month-to-month,Mailed check,No,Yes,Yes
5,103.14,515.7,One year,Bank transfer,Fiber optic,Yes,Yes
35,79.9,2796.5,One year,Electronic check,Fiber optic,Yes,No
18,31.49,566.82,Month-to-month,Electronic check,Fiber optic,Yes,Yes
9,29.39,264.51,One year,Electronic check,DSL,No,Yes
58,110.96,6435.68,Month-to-month,Bank transfer,Fiber optic,Yes,Yes
17,86.92,1477.64,One year,Electronic check,DSL,No,Yes
7,102.93,720.51,Month-to-month,Electronic check,Fiber optic,Yes,Yes
46,107.9,4963.4,One year,Electronic check,DSL,Yes,Yes
13,77.18,1003.34,Month-to-month,Mailed check,Fiber optic,No,Yes
40,71.74,2869.6,One year,Bank transfer,Fiber optic,Yes,No
42,63.04,2647.68,Two year,Bank transfer,Fiber optic,No,No
9,51.69,465.21,One year,Credit card,No,No,Yes
50,63.46,3173.0,Month-to-month,Bank transfer,No,No,Yes
27,97.39,2629.53,Two year,Mailed check,Fiber optic,Yes,No
66,80.19,5292.54,One year,Bank transfer,DSL,Yes,Yes
5,109.25,546.25,Two year,Mailed check,DSL,Yes,Yes
29,64.34,1865.86,One year,Mailed check,Fiber optic,Yes,No
37,80.71,2986.27,Two year,Bank transfer,No,No,Yes
38,83.13,3158.94,Month-to-month,Credit card,DSL,Yes,No
8,79.17,633.36,One year,Electronic check,No,Yes,Yes
65,90.26,5866.9,One year,Electronic check,DSL,No,No
17,43.74,743.58,Month-to-month,Bank transfer,Fiber optic,No,No
71,71.24,5058.04,Two year,Bank transfer,No,Yes,No
45,30.42,1368.9,Month-to-month,Mailed check,DSL,No,Yes
4,58.45,233.8,Month-to-month,Bank transfer,Fiber optic,No,No
36,68.77,2475.72,Two year,Mailed check,Fiber optic,No,No
70,85.22,5965.4,Month-to-month,Credit card,Fiber optic,No,No
31,115.05,3566.55,One year,Bank transfer,No,No,No
19,80.07,1521.33,One year,Electronic check,No,Yes,No
61,94.36,5755.96,One year,Electronic check,Fiber optic,Yes,Yes
54,70.63,3814.02,Month-to-month,Bank transfer,No,Yes,Yes
39,83.41,3252.99,One year,Mailed check,DSL,Yes,No
19,27.09,514.71,One year,Electronic check,Fiber optic,Yes,Yes
39,45.44,1772.16,One year,Mailed check,Fiber optic,Yes,Yes
67,56.19,3764.73,One year,Bank transfer,No,Yes,No
45,67.25,3026.25,One year,Bank transfer,Fiber optic,No,No
13,24.56,319.28,One year,Electronic check,DSL,Yes,Yes
58,34.0,1972.0,Month-to-month,Bank transfer,No,Yes,Yes
20,47.68,953.6,One year,Credit card,No,Yes,Yes
61,117.15,7146.15,One year,Credit card,Fiber optic,No,No
39,53.13,2072.07,Two year,Electronic check,Fiber optic,Yes,Yes
1,68.2,68.2,Month-to-month,Credit card,Fiber optic,Yes,Yes
3,39.61,118.83,Month-to-month,Mailed check,No,No,Yes
62,81.08,5026.96,Month-to-month,Electronic check,Fiber optic,Yes,Yes
63,48.07,3028.41,Month-to-month,Electronic check,DSL,Yes,No
25,40.7,1017.5,One year,Mailed check,Fiber optic,No,Yes
56,71.66,4012.96,One year,Credit card,Fiber optic,Yes,No
33,20.55,678.15,Two year,Credit card,No,No,No
38,20.77,789.26,Two year,Credit card,Fiber optic,Yes,Yes
6,41.91,251.46,Month-to-month,Electronic check,No,Yes,Yes
58,23.67,1372.86,Two year,Electronic check,Fiber optic,Yes,No
44,30.8,1355.2,Two year,Credit card,DSL,No,No
45,53.89,2425.05,Month-to-month,Bank transfer,DSL,No,Yes
32,100.26,3208.32,Month-to-month,Credit card,No,No,Yes
45,77.2,3474.0,Two year,Mailed check,No,Yes,No
61,71.27,4347.47,One year,Electronic check,Fiber optic,Yes,Yes
47,49.35,2319.45,Two year,Mailed check,Fiber optic,No,No
21,113.18,2376.78,Two year,Mailed check,DSL,No,No
36,59.7,2149.2,One year,Electronic check,Fiber optic,Yes,No
19,28.71,545.49,One year,Bank transfer,DSL,Yes,Yes
20,81.71,1634.2,Month-to-month,Credit card,No,Yes,Yes
57,31.38,1788.66,Month-to-month,Mailed check,Fiber optic,Yes,Yes
18,54.52,981.36,Two year,Electronic check,No,No,Yes
47,70.74,3324.78,One year,Mailed check,Fiber optic,Yes,No
49,107.42,5263.58,Month-to-month,Credit card,DSL,Yes,Yes
14,69.35,970.9,Two year,Bank transfer,No,Yes,No
15,90.23,1353.45,One year,Bank transfer,No,Yes,No
31,119.28,3697.68,Two year,Bank transfer,Fiber optic,Yes,No
1,33.15,33.15,Month-to-month,Electronic check,No,Yes,Yes
54,47.47,2563.38,Month-to-month,Electronic check,DSL,Yes,No
3,59.46,178.38,One year,Bank transfer,No,No,No
16,62.18,994.88,Two year,Credit card,No,No,Yes
57,61.1,3482.7,One year,Credit card,Fiber optic,No,No
12,110.76,1329.12,Month-to-month,Electronic check,No,Yes,Yes
16,91.4,1462.4,Month-to-month,Bank transfer,Fiber optic,No,No
24,80.79,1938.96,Two year,Credit card,Fiber optic,Yes,No
28,50.94,1426.32,Two year,Credit card,No,Yes,No
8,102.38,819.04,Two year,Credit card,DSL,Yes,Yes
36,115.51,4158.36,One year,Electronic check,Fiber optic,Yes,Yes
8,102.12,816.96,Two year,Bank transfer,No,No,No
58,20.16,1169.28,Two year,Mailed check,Fiber optic,Yes,No
60,83.64,5018.4,Month-to-month,Bank transfer,DSL,Yes,No
50,25.11,1255.5,Month-to-month,Bank transfer,DSL,No,Yes
28,45.76,1281.28,Two year,Electronic check,Fiber optic,No,Yes
41,25.95,1063.95,Two year,Credit card,DSL,No,No
64,80.38,5144.32,Month-to-month,Credit card,No,Yes,No
27,88.66,2393.82,Two year,Electronic check,No,No,Yes
63,31.45,1981.35,One year,Electronic check,Fiber optic,Yes,No
17,58.38,992.46,One year,Electronic check,DSL,Yes,Yes
33,65.62,2165.46,One year,Electronic check,No,No,No
29,56.91,1650.39,Two year,Electronic check,No,No,No
13,32.1,417.3,Month-to-month,Mailed check,No,No,No
46,61.89,2846.94,Two year,Bank transfer,Fiber optic,Yes,No
35,95.12,3329.2,Two year,Bank transfer,Fiber optic,Yes,No
6,27.1,162.6,Month-to-month,Bank transfer,No,Yes,Yes
69,28.02,1933.38,Month-to-month,Credit card,No,Yes,No
47,55.48,2607.56,Month-to-month,Mailed check,DSL,Yes,Yes
25,114.17,2854.25,One year,Bank transfer,DSL,Yes,No
66,86.86,5732.76,Two year,Credit card,DSL,No,Yes
10,87.87,878.7,Month-to-month,Mailed check,Fiber optic,Yes,No
56,56.19,3146.64,Two year,Mailed check,No,No,No
30,79.37,2381.1,One year,Credit card,Fiber optic,No,No
5,21.01,105.05,One year,Mailed check,No,No,No
33,83.61,2759.13,Month-to-month,Credit card,DSL,No,Yes
65,111.33,7236.45,Month-to-month,Bank transfer,DSL,No,Yes
18,81.26,1462.68,Two year,Credit card,DSL,Yes,Yes
49,107.37,5261.13,Month-to-month,Mailed check,DSL,Yes,No
11,92.4,1016.4,Two year,Bank transfer,No,Yes,No
26,32.06,833.56,Month-to-month,Bank transfer,DSL,Yes,Yes
63,110.25,6945.75,Two year,Electronic check,No,No,No
59,26.64,1571.76,Two year,Electronic check,No,No,Yes
27,73.4,1981.8,Two year,Mailed check,Fiber optic,No,Yes
49,34.21,1676.29,Two year,Credit card,DSL,Yes,Yes
33,21.17,698.61,One year,Credit card,DSL,Yes,No
1,62.2,62.2,Two year,Mailed check,Fiber optic,Yes,No
21,49.5,1039.5,Month-to-month,Bank transfer,No,Yes,Yes
55,68.6,3773.0,One year,Mailed check,DSL,No,No
6,77.72,466.32,One year,Mailed check,No,No,No
69,24.37,1681.53,Two year,Bank transfer,Fiber optic,Yes,Yes
5,32.3,161.5,One year,Credit card,No,Yes,No
3,75.86,227.58,Two year,Mailed check,DSL,No,No
53,54.32,2878.96,Month-to-month,Credit card,No,No,Yes
23,92.92,2137.16,Two year,Mailed check,No,No,Yes
53,85.23,4517.19,One year,Bank transfer,DSL,No,No
37,104.56,3868.72,Month-to-month,Bank transfer,DSL,Yes,No
17,89.25,1517.25,Two year,Electronic check,No,No,Yes
1,62.99,62.99,Month-to-month,Bank transfer,No,No,Yes
51,87.3,4452.3,Month-to-month,Electronic check,Fiber optic,No,Yes
45,47.54,2139.3,One year,Mailed check,DSL,No,No
4,50.63,202.52,Month-to-month,Credit card,No,Yes,Yes
62,98.9,6131.8,One year,Bank transfer,DSL,Yes,No
65,64.64,4201.6,Month-to-month,Bank transfer,Fiber optic,Yes,Yes
32,99.84,3194.88,Two year,Bank transfer,No,Yes,Yes
34,102.24,3476.16,Month-to-month,Mailed check,No,Yes,Yes
39,105.76,4124.64,Two year,Electronic check,No,Yes,Yes
26,111.66,2903.16,Two year,Mailed check,DSL,No,Yes
34,63.1,2145.4,Month-to-month,Credit card,Fiber optic,No,Yes
54,51.89,2802.06,Two year,Mailed check,DSL,No,Yes
3,78.22,234.66,Month-to-month,Credit card,No,No,Yes
50,57.12,2856.0,Month-to-month,Bank transfer,Fiber optic,Yes,Yes
12,80.11,961.32,Two year,Credit card,No,No,No
65,90.56,5886.4,Two year,Credit card,No,Yes,No
54,88.84,4797.36,One year,Electronic check,DSL,No,No
5,57.46,287.3,Two year,Credit card,No,No,No
57,36.69,2091.33,One year,Credit card,Fiber optic,No,Yes
17,63.05,1071.85,Two year,Mailed check,No,Yes,No
47,34.26,1610.22,Month-to-month,Bank transfer,No,No,Yes
23,109.01,2507.23,Two year,Mailed check,DSL,Yes,No
14,54.59,764.26,Month-to-month,Mailed check,Fiber optic,Yes,No
66,35.45,2339.7,Month-to-month,Bank transfer,DSL,No,Yes
51,22.54,1149.54,Month-to-month,Bank transfer,No,Yes,Yes
38,84.58,3214.04,One year,Credit card,DSL,Yes,No
64,83.69,5356.16,Two year,Credit card,DSL,No,No
38,54.06,2054.28,Month-to-month,Electronic check,DSL,No,No
50,27.17,1358.5,Month-to-month,Mailed check,DSL,No,Yes
30,60.96,1828.8,One year,Bank transfer,No,No,Yes
51,51.12,2607.12,Two year,Credit card,No,No,No
63,87.71,5525.73,Two year,Bank transfer,Fiber optic,No,No
52,80.58,4190.16,One year,Credit card,DSL,Yes,Yes
38,56.46,2145.48,One year,Electronic check,DSL,No,Yes
30,41.79,1253.7,Two year,Electronic check,Fiber optic,No,No
51,118.8,6058.8,One year,Bank transfer,DSL,Yes,No
5,65.4,327.0,Two year,Electronic check,Fiber optic,No,Yes
29,88.83,2576.07,Two year,Bank transfer,No,Yes,No
4,34.06,136.24,Month-to-month,Credit card,Fiber optic,No,No
10,68.56,685.6,Month-to-month,Mailed check,DSL,No,No
56,22.75,1274.0,Two year,Electronic check,Fiber optic,Yes,No
17,70.55,1199.35,Two year,Credit card,No,No,No
17,116.4,1978.8,Two year,Mailed check,DSL,Yes,Yes
69,58.42,4030.98,Two year,Mailed check,No,No,No
34,23.9,812.6,Two year,Mailed check,No,No,Yes
6,23.1,138.6,Two year,Credit card,Fiber optic,Yes,No
53,58.8,3116.4,One year,Credit card,No,No,No
66,36.0,2376.0,Two year,Bank transfer,DSL,No,No
43,22.34,960.62,One year,Mailed check,No,Yes,Yes
23,95.62,2199.26,One year,Mailed check,No,No,No
55,65.85,3621.75,Two year,Mailed check,Fiber optic,Yes,Yes
16,48.92,782.72,Two year,Bank transfer,No,No,No
8,110.01,880.08,One year,Mailed check,Fiber optic,Yes,No
4,31.61,126.44,One year,Credit card,Fiber optic,No,No
4,115.59,462.36,Two year,Mailed check,DSL,Yes,No
56,51.4,2878.4,Two year,Electronic check,DSL,Yes,Yes
25,108.84,2721.0,One year,Credit card,DSL,No,No
67,80.29,5379.43,One year,Bank transfer,DSL,No,No
67,102.67,6878.89,One year,Mailed check,Fiber optic,Yes,No
27,118.4,3196.8,Month-to-month,Electronic check,No,No,Yes
32,48.84,1562.88,One year,Bank transfer,DSL,Yes,No
50,116.11,5805.5,Month-to-month,Bank transfer,DSL,No,Yes
61,58.95,3595.95,Two year,Credit card,DSL,No,No
51,58.55,2986.05,Two year,Bank transfer,No,Yes,No
19,54.04,1026.76,One year,Bank transfer,DSL,Yes,No
21,74.14,1556.94,Two year,Bank transfer,No,No,No
5,35.41,177.05,Two year,Bank transfer,Fiber optic,No,Yes
42,75.37,3165.54,Two year,Mailed check,Fiber optic,No,No
61,74.17,4524.37,Two year,Mailed check,Fiber optic,No,Yes
22,96.19,2116.18,Month-to-month,Mailed check,No,No,Yes
21,103.36,2170.56,Month-to-month,Mailed check,DSL,Yes,No
70,64.04,4482.8,One year,Electronic check,DSL,No,No
1,50.23,50.23,One year,Mailed check,DSL,No,Yes
5,45.93,229.65,One year,Bank transfer,DSL,Yes,Yes
12,39.46,473.52,Two year,Mailed check,DSL,Yes,No
46,25.76,1184.96,Two year,Mailed check,No,Yes,No
34,54.24,1844.16,Month-to-month,Credit card,Fiber optic,No,Yes
49,47.02,2303.98,Month-to-month,Bank transfer,DSL,Yes,No
45,116.64,5248.8,One year,Mailed check,Fiber optic,Yes,No
27,75.77,2045.79,Month-to-month,Mailed check,No,Yes,Yes
26,54.73,1422.98,Month-to-month,Mailed check,No,Yes,Yes
47,78.05,3668.35,Month-to-month,Electronic check,DSL,No,Yes
56,33.92,1899.52,Month-to-month,Mailed check,No,No,Yes
63,64.4,4057.2,Month-to-month,Credit card,Fiber optic,No,No
48,82.62,3965.76,One year,Bank transfer,DSL,Yes,No
61,68.89,4202.29,One year,Bank transfer,DSL,Yes,No
26,60.18,1564.68,Month-to-month,Mailed check,Fiber optic,Yes,Yes
36,119.38,4297.68,One year,Mailed check,DSL,Yes,Yes
1,108.03,108.03,Two year,Mailed check,DSL,Yes,No
8,82.34,658.72,Month-to-month,Bank transfer,Fiber optic,Yes,No
52,76.94,4000.88,Two year,Bank transfer,DSL,No,Yes
47,82.07,3857.29,One year,Electronic check,DSL,No,Yes
56,40.13,2247.28,One year,Credit card,Fiber optic,Yes,No
14,59.51,833.14,Two year,Electronic check,No,No,No
28,23.95,670.6,One year,Credit card,Fiber optic,Yes,No
2,67.55,135.1,Month-to-month,Electronic check,DSL,Yes,Yes
26,74.3,1931.8,Two year,Bank transfer,Fiber optic,No,No
14,42.77,598.78,Month-to-month,Electronic check,DSL,Yes,Yes
59,116.4,6867.6,Two year,Credit card,DSL,No,No
56,110.95,6213.2,One year,Mailed check,Fiber optic,Yes,No
7,92.21,645.47,Two year,Credit card,DSL,Yes,No
3,73.34,220.02,Two year,Mailed check,No,No,No
23,107.0,2461.0,Month-to-month,Bank transfer,DSL,Yes,No
18,33.07,595.26,One year,Credit card,Fiber optic,Yes,No
38,99.05,3763.9,Month-to-month,Electronic check,No,Yes,Yes
15,32.48,487.2,One year,Credit card,No,No,No
64,99.42,6362.88,Month-to-month,Mailed check,DSL,Yes,No
28,47.58,1332.24,Two year,Bank transfer,Fiber optic,Yes,Yes
39,107.71,4200.69,Month-to-month,Electronic check,DSL,Yes,Yes
57,114.4,6520.8,One year,Credit card,DSL,No,No
17,34.88,592.96,One year,Mailed check,Fiber optic,No,No
44,66.27,2915.88,Two year,Electronic check,Fiber optic,No,Yes
25,118.1,2952.5,One year,Bank transfer,DSL,No,No
17,68.34,1161.78,Month-to-month,Electronic check,No,No,Yes
13,106.35,1382.55,Two year,Bank transfer,DSL,Yes,No
25,78.87,1971.75,One year,Electronic check,No,No,No
68,57.53,3912.04,One year,Credit card,DSL,No,No
10,48.58,485.8,Month-to-month,Mailed check,Fiber optic,Yes,No
67,40.32,2701.44,Month-to-month,Credit card,No,No,Yes
18,96.18,1731.24,Two year,Credit card,Fiber optic,Yes,No
34,58.65,1994.1,One year,Bank transfer,Fiber optic,No,Yes
8,71.13,569.04,Month-to-month,Bank transfer,Fiber optic,Yes,Yes
40,69.23,2769.2,Two year,Bank transfer,Fiber optic,Yes,No
42,77.73,3264.66,One year,Credit card,Fiber optic,No,No
41,106.56,4368.96,One year,Electronic check,DSL,No,No
6,118.07,708.42,Two year,Electronic check,No,Yes,Yes
52,60.76,3159.52,Two year,Credit card,DSL,Yes,No
26,102.75,2671.5,Month-to-month,Credit card,DSL,Yes,No
64,96.45,6172.8,One year,Mailed check,DSL,Yes,Yes
59,77.35,4563.65,One year,Bank transfer,Fiber optic,Yes,No
56,115.6,6473.6,One year,Bank transfer,DSL,Yes,No
59,40.05,2362.95,Two year,Credit card,No,Yes,No
70,30.93,2165.1,Month-to-month,Credit card,DSL,No,Yes
33,105.4,3478.2,One year,Electronic check,Fiber optic,Yes,No
53,63.91,3387.23,Two year,Credit card,No,No,Yes
22,104.7,2303.4,One year,Electronic check,No,No,Yes
21,109.31,2295.51,Month-to-month,Credit card,No,Yes,Yes
70,26.25,1837.5,One year,Mailed check,No,Yes,No
70,108.35,7584.5,Month-to-month,Mailed check,DSL,No,Yes
4,64.83,259.32,Month-to-month,Electronic check,Fiber optic,Yes,No
62,71.04,4404.48,One year,Bank transfer,No,Yes,No
62,82.66,5124.92,One year,Mailed check,No,No,Yes
24,112.64,2703.36,Month-to-month,Electronic check,Fiber optic,No,Yes
55,21.91,1205.05,Two year,Credit card,DSL,No,Yes
9,67.68,609.12,Month-to-month,Credit card,No,Yes,Yes
3,88.77,266.31,One year,Electronic check,DSL,Yes,Yes
31,92.27,2860.37,One year,Bank transfer,DSL,No,Yes
40,89.25,3570.0,Two year,Electronic check,DSL,Yes,Yes
36,33.44,1203.84,Month-to-month,Electronic check,DSL,No,Yes
24,49.94,1198.56,Month-to-month,Mailed check,No,Yes,Yes
6,55.87,335.22,Month-to-month,Electronic check,No,No,Yes
66,100.44,6629.04,One year,Electronic check,DSL,Yes,No
4,47.88,191.52,Month-to-month,Credit card,DSL,No,Yes
6,41.07,246.42,Two year,Mailed check,Fiber optic,Yes,No
51,115.74,5902.74,One year,Credit card,Fiber optic,Yes,No
62,20.89,1295.18,One year,Credit card,Fiber optic,No,No
57,119.78,6827.46,Month-to-month,Bank transfer,No,Yes,Yes
66,87.68,5786.88,Two year,Bank transfer,Fiber optic,Yes,Yes
8,102.85,822.8,One year,Mailed check,No,No,Yes
26,49.46,1285.96,One year,Mailed check,No,Yes,Yes
51,21.43,1092.93,Month-to-month,Bank transfer,No,Yes,Yes
45,93.79,4220.55,Month-to-month,Bank transfer,No,Yes,No
44,103.41,4550.04,Two year,Bank transfer,Fiber optic,No,No
5,94.05,470.25,Month-to-month,Bank transfer,DSL,No,No
70,34.29,2400.3,Two year,Bank transfer,DSL,No,Yes
26,95.34,2478.84,One year,Credit card,DSL,No,No
68,96.89,6588.52,Two year,Mailed check,Fiber optic,No,No
19,85.85,1631.15,Two year,Credit card,DSL,Yes,No
20,96.61,1932.2,Two year,Credit card,Fiber optic,Yes,No
12,104.59,1255.08,One year,Electronic check,Fiber optic,No,No
47,81.36,3823.92,Month-to-month,Credit card,Fiber optic,Yes,No
1,28.86,28.86,One year,Bank transfer,DSL,Yes,Yes
14,68.76,962.64,Month-to-month,Bank transfer,DSL,Yes,Yes
64,27.76,1776.64,Two year,Electronic check,DSL,Yes,No
38,60.75,2308.5,Two year,Electronic check,No,No,No
37,60.71,2246.27,Two year,Electronic check,Fiber optic,No,Yes
11,26.6,292.6,Two year,Electronic check,No,Yes,Yes
3,54.88,164.64,Two year,Electronic check,Fiber optic,Yes,Yes
33,31.1,1026.3,Month-to-month,Credit card,DSL,No,No
6,100.82,604.92,Month-to-month,Electronic check,Fiber optic,Yes,Yes
50,114.77,5738.5,Two year,Credit card,Fiber optic,Yes,No
10,27.23,272.3,One year,Mailed check,No,Yes,No
5,115.51,577.55,One year,Electronic check,Fiber optic,No,Yes
23,72.26,1661.98,Two year,Electronic check,DSL,No,Yes
10,49.96,499.6,Month-to-month,Credit card,Fiber optic,Yes,Yes
44,27.69,1218.36,One year,Mailed check,Fiber optic,Yes,No
2,70.06,140.12,One year,Credit card,Fiber optic,Yes,Yes
13,99.45,1292.85,One year,Credit card,No,Yes,Yes
40,90.71,3628.4,Two year,Electronic check,Fiber optic,Yes,No
2,25.02,50.04,One year,Bank transfer,Fiber optic,Yes,No
65,27.29,1773.85,One year,Bank transfer,No,No,Yes
63,60.29,3798.27,One year,Credit card,No,No,No
17,49.53,842.01,One year,Electronic check,No,Yes,No
9,43.24,389.16,Month-to-month,Mailed check,No,No,Yes
15,48.1,721.5,Two year,Bank transfer,DSL,Yes,No
24,100.35,2408.4,Two year,Mailed check,DSL,Yes,Yes
38,112.92,4290.96,Month-to-month,Bank transfer,Fiber optic,No,No
35,60.51,2117.85,Month-to-month,Electronic check,DSL,No,Yes
49,110.61,5419.89,Two year,Credit card,Fiber optic,Yes,No
69,52.15,3598.35,One year,Mailed check,DSL,Yes,No
62,67.64,4193.68,One year,Mailed check,No,No,Yes
60,42.6,2556.0,Two year,Credit card,No,No,No
50,84.05,4202.5,One year,Mailed check,DSL,Yes,No
9,117.9,1061.1,Month-to-month,Bank transfer,DSL,Yes,Yes
34,80.35,2731.9,One year,Credit card,Fiber optic,Yes,No
35,55.78,1952.3,One year,Bank transfer,Fiber optic,No,No
1,84.78,84.78,One year,Bank transfer,Fiber optic,Yes,Yes
40,32.29,1291.6,Two year,Electronic check,No,No,Yes
64,108.87,6967.68,Month-to-month,Bank transfer,No,Yes,Yes
22,70.31,1546.82,One year,Electronic check,No,No,No
60,64.93,3895.8,Two year,Mailed check,No,No,Yes
64,78.59,5029.76,One year,Mailed check,Fiber optic,No,Yes
11,82.48,907.28,Month-to-month,Electronic check,No,No,Yes
14,27.18,380.52,One year,Bank transfer,No,Yes,Yes
60,88.26,5295.6,Month-to-month,Credit card,No,No,No
30,44.19,1325.7,One year,Credit card,No,No,No
35,91.4,3199.0,Month-to-month,Electronic check,DSL,No,Yes
37,102.25,3783.25,One year,Mailed check,Fiber optic,Yes,No
5,100.4,502.0,Month-to-month,Mailed check,Fiber optic,Yes,Yes
26,75.25,1956.5,One year,Credit card,No,Yes,No
62,72.02,4465.24,One year,Electronic check,DSL,Yes,No
4,34.29,137.16,Two year,Credit card,Fiber optic,Yes,Yes
42,97.53,4096.26,Two year,Bank transfer,Fiber optic,Yes,Yes
18,47.14,848.52,Month-to-month,Bank transfer,No,No,Yes
40,69.67,2786.8,One year,Electronic check,No,No,Yes
39,48.43,1888.77,Month-to-month,Electronic check,Fiber optic,No,Yes
14,33.38,467.32,Two year,Bank transfer,Fiber optic,Yes,No
32,82.96,2654.72,Month-to-month,Mailed check,DSL,No,No
51,25.43,1296.93,Month-to-month,Electronic check,Fiber optic,No,Yes
38,94.86,3604.68,Two year,Bank transfer,Fiber optic,Yes,No
23,51.76,1190.48,One year,Bank transfer,No,No,No
63,20.01,1260.63,Month-to-month,Mailed check,Fiber optic,Yes,Yes
15,71.11,1066.65,Two year,Mailed check,No,No,No
25,24.69,617.25,One year,Mailed check,Fiber optic,Yes,No
17,47.62,809.54,Two year,Mailed check,Fiber optic,Yes,No
66,90.7,5986.2,Month-to-month,Credit card,Fiber optic,Yes,No
53,26.27,1392.31,One year,Mailed check,DSL,No,Yes
51,103.93,5300.43,One year,Credit card,No,No,Yes
39,20.38,794.82,Two year,Electronic check,DSL,Yes,No
51,44.68,2278.68,Two year,Bank transfer,Fiber optic,Yes,No
70,94.09,6586.3,Two year,Credit card,DSL,No,No
6,51.63,309.78,One year,Electronic check,No,No,Yes
67,30.19,2022.73,One year,Electronic check,Fiber optic,Yes,No
7,56.02,392.14,Month-to-month,Credit card,DSL,No,Yes
51,47.04,2399.04,One year,Electronic check,DSL,No,No
42,104.27,4379.34,Month-to-month,Electronic check,No,No,No
64,51.33,3285.12,Two year,Credit card,DSL,Yes,No
15,98.89,1483.35,Two year,Electronic check,No,Yes,Yes
29,109.19,3166.51,One year,Mailed check,Fiber optic,No,No
33,63.38,2091.54,Two year,Mailed check,Fiber optic,Yes,No
27,110.99,2996.73,Two year,Bank transfer,DSL,No,Yes
36,57.73,2078.28,One year,Electronic check,Fiber optic,No,Yes
29,116.41,3375.89,Month-to-month,Bank transfer,Fiber optic,Yes,No
38,28.93,1099.34,One year,Mailed check,DSL,Yes,No
57,88.7,5055.9,Month-to-month,Mailed check,Fiber optic,Yes,No
27,69.38,1873.26,One year,Mailed check,DSL,No,Yes
55,58.76,3231.8,One year,Electronic check,No,No,No
33,83.27,2747.91,Two year,Electronic check,No,Yes,No
68,90.39,6146.52,One year,Mailed check,No,Yes,No
66,20.44,1349.04,One year,Bank transfer,DSL,Yes,No
10,36.7,367.0,Month-to-month,Bank transfer,DSL,No,No
5,91.3,456.5,Two year,Credit card,Fiber optic,No,No
38,86.64,3292.32,Month-to-month,Mailed check,Fiber optic,No,No
13,116.6,1515.8,Month-to-month,Bank transfer,Fiber optic,Yes,No
31,96.1,2979.1,Two year,Mailed check,Fiber optic,Yes,No
47,115.08,5408.76,Two year,Bank transfer,Fiber optic,No,No
52,90.25,4693.0,Two year,Credit card,DSL,Yes,No
56,49.81,2789.36,One year,Credit card,DSL,Yes,No
15,30.54,458.1,Two year,Mailed check,No,Yes,No
29,98.18,2847.22,Two year,Bank transfer,No,Yes,No
8,84.41,675.28,Two year,Electronic check,No,No,Yes
5,24.82,124.1,Month-to-month,Credit card,No,Yes,Yes
29,56.01,1624.29,Month-to-month,Mailed check,DSL,No,No
47,115.68,5436.96,One year,Mailed check,DSL,No,No
68,70.04,4762.72,Month-to-month,Bank transfer,DSL,Yes,Yes
45,63.27,2847.15,One year,Mailed check,Fiber optic,No,No
2,65.77,131.54,Month-to-month,Credit card,Fiber optic,No,Yes
27,40.89,1104.03,Two year,Mailed check,No,Yes,Yes
36,56.87,2047.32,Month-to-month,Mailed check,Fiber optic,No,No
36,56.98,2051.28,One year,Electronic check,DSL,No,Yes
26,25.24,656.24,Month-to-month,Electronic check,No,No,Yes
43,96.76,4160.68,Two year,Credit card,No,No,Yes
27,61.65,1664.55,One year,Bank transfer,Fiber optic,No,Yes
69,102.22,7053.18,Two year,Electronic check,No,No,No
